Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.27757896364351614,0.8911870503597122,0.33625157010190343,0.8529518950437317
2,0.18299869402050437,0.9332284172661871,0.11845784032793373,0.9502551020408163
3,0.17892562887102043,0.935251798561151,0.14446038357457336,0.9464285714285714
4,0.16850437410008295,0.9370503597122302,0.14332465561372892,0.9489795918367347
5,0.13281422027423576,0.9514388489208633,0.1632625101780405,0.9387755102040817
6,0.14205158087458436,0.9494154676258992,0.10009617198790823,0.9566326530612245
7,0.13731919636735493,0.9505395683453237,1.0488531461783819,0.7137390670553936
8,0.17116922418680713,0.9343525179856115,0.09296280642667291,0.9641034985422741
9,0.12593547743577643,0.9523381294964028,0.158206483672316,0.9426020408163265
10,0.13186957666369006,0.9491906474820144,0.13612099391009128,0.9477040816326531
11,0.16275457122862313,0.9419964028776978,0.07831795840543143,0.9706632653061225
12,0.1199575774003115,0.9559352517985612,0.11422116292298448,0.9604591836734694
13,0.1242289965747849,0.9498651079136691,0.14576696522761973,0.9477040816326531
14,0.12235172977336019,0.9530125899280576,0.1515729238222144,0.9387755102040817
15,0.1287065763947748,0.9552607913669064,0.1196349464090807,0.9553571428571429
